sample_idx/template_idx,template_0,template_1,template_2,template_3,template_4,template_5,template_6,template_7,template_8,template_9,template_10,template_11,template_12,template_13,template_14,template_15,template_16,template_17,template_18,template_19
sample_129,0.191998,0.192687,0.071975,0.157520,0.050848,0.068221,0.003101,0.156562,0.147930,-0.031194,0.093596,0.145562,0.153171,0.190981,0.093634,0.077933,0.052302,0.133978,0.499178,0.151895
sample_130,0.047796,0.223841,0.046544,0.138288,0.082493,0.097705,0.164046,0.240041,0.141971,0.010564,0.061206,0.141842,0.152215,0.185464,0.236704,0.113903,0.143762,0.164201,0.313650,0.224017
sample_131,0.141327,0.096329,0.092704,0.075612,0.032849,0.076040,0.081652,0.082073,0.132157,-0.048575,0.170919,0.212949,0.155505,0.145659,0.108850,0.072451,0.047414,0.193684,0.483579,0.124738
sample_132,0.083142,0.202814,0.015563,0.107615,0.098787,0.106340,0.056382,0.190208,0.197242,0.016186,0.138872,0.166905,0.125095,0.218502,0.257959,0.149515,0.087958,0.135520,0.331208,0.195123
sample_133,0.173596,0.062462,0.080883,0.062356,0.105124,0.146660,0.018496,0.166352,0.123470,0.051610,0.087772,0.047207,0.129379,0.114076,0.107553,0.097125,0.078657,0.065207,0.344386,0.119586
sample_134,0.188214,0.218781,0.116319,0.069547,0.117961,0.140988,0.097636,0.176438,0.063769,-0.031755,0.072031,0.125921,0.289437,0.166338,0.124458,0.154721,0.096883,0.128902,0.494946,0.118036
sample_135,0.066297,0.176432,0.134023,0.073577,0.012883,0.109152,0.057969,0.031938,0.034655,-0.002893,0.118053,0.223338,0.166369,0.172889,0.180925,0.066259,0.106898,0.240912,0.395638,0.065383
sample_136,0.177080,0.146627,0.150835,0.010395,0.146794,0.162572,0.112028,0.149431,0.117069,-0.021645,0.091918,0.105245,0.162421,0.185230,0.205372,0.244784,0.229733,0.212332,0.346327,0.128999
sample_137,0.235741,0.109912,0.157012,0.146496,0.151531,0.060791,0.153052,0.159795,0.125332,0.051399,0.161066,0.155763,0.226364,0.198563,0.200607,0.123870,0.148080,0.188025,0.372772,0.133131
sample_138,0.258320,0.187927,0.178388,0.123172,0.156307,0.043292,0.097292,0.181663,0.196561,0.054270,0.150629,0.168984,0.204477,0.252846,0.220274,0.115861,0.107125,0.201864,0.398230,0.102733
sample_139,0.132322,0.173592,0.101815,0.056199,0.087903,0.132722,0.043603,0.079541,0.115777,0.032653,0.145782,0.181371,0.172696,0.277001,0.108374,0.117274,0.081862,0.198325,0.447680,0.117534
sample_140,0.055231,0.165756,0.033096,0.053001,0.034470,0.130992,0.063877,0.129265,0.068667,-0.013548,0.075890,0.092432,0.062977,0.073725,0.256039,0.106847,0.068185,0.142968,0.292424,0.091998
sample_141,0.205365,0.170298,0.139403,0.009332,0.115771,0.154075,0.044079,0.210310,0.256166,0.003837,0.212811,0.061717,0.204314,0.251583,0.084645,0.195352,0.080973,0.193776,0.540539,0.115477
sample_142,0.290449,0.185503,0.042271,0.117562,0.228702,0.168200,0.116814,0.286532,0.154573,-0.027786,0.142086,0.100171,0.186131,0.186437,0.147962,0.215009,0.102709,0.086835,0.376468,0.260220
sample_143,0.080219,0.121149,0.195506,0.156007,0.026108,0.035712,0.134615,0.100264,0.092382,-0.031413,0.218436,0.167282,0.230586,0.116934,0.107982,0.096943,0.092961,0.251857,0.497906,0.079999
sample_144,0.136330,0.150166,0.074912,0.119492,0.015661,0.055980,0.035556,0.113458,0.109015,0.025826,0.164025,0.189342,0.148210,0.152892,0.127796,0.123980,0.126112,0.183573,0.502758,0.075188
sample_145,0.156181,0.041180,-0.045947,0.023845,0.087155,0.095504,0.026268,0.190978,0.255275,-0.018957,0.161281,-0.071506,0.097508,0.202400,0.012349,0.150495,0.050150,0.220587,0.443884,0.052238
sample_146,0.122265,0.027402,0.045571,0.036633,-0.005018,-0.057520,-0.023949,0.149887,0.103980,-0.104403,0.096049,0.062692,0.094166,0.100086,0.021946,0.103085,0.097438,0.151543,0.471236,0.078269
sample_147,0.228480,0.177148,0.173138,0.058672,0.141234,0.161424,0.116872,0.139526,0.143926,-0.081063,0.177131,0.087757,0.089738,0.249225,0.217497,0.114277,0.101607,0.167425,0.265900,0.155654
sample_148,0.198578,0.082070,0.007299,0.031008,0.188320,0.197389,-0.010398,0.156229,0.249828,0.026003,0.241207,0.059487,0.138037,0.284896,0.065507,0.110835,0.078130,0.214115,0.325770,0.057526
sample_149,0.164972,0.123504,0.171291,0.010568,0.077721,0.104987,0.139743,0.175112,0.131097,-0.038758,0.083375,0.154185,0.267038,0.141349,0.135025,0.170010,0.154512,0.202495,0.491325,0.055035
sample_150,0.078486,0.140867,0.071600,0.006238,-0.021125,-0.014092,0.105235,0.117116,0.126975,0.041292,0.116302,0.110009,0.114791,0.144179,0.077968,0.104889,0.025627,0.170697,0.526002,0.043353
sample_151,0.096635,0.111993,0.135542,0.034528,0.037720,0.085912,0.045737,0.165124,0.240565,0.033557,0.222489,0.172793,0.205981,0.207829,0.153120,0.208289,0.103895,0.265340,0.448305,0.091413
sample_152,0.106399,0.167369,0.111217,0.060712,0.031456,0.105878,-0.040814,0.185451,0.172143,-0.004491,0.120269,0.079162,0.174117,0.166070,0.038100,0.131380,0.155401,0.226340,0.499367,0.113202
sample_153,0.196827,0.204473,0.158807,0.088862,0.219345,0.115753,0.050183,0.191153,0.133785,-0.035597,0.022411,0.214618,0.145197,0.189946,0.288236,0.110884,0.069129,0.251591,0.271256,0.121129
sample_154,0.100513,0.092671,0.037002,0.005218,-0.005630,0.064661,0.038632,0.161920,0.142812,-0.049837,0.144483,0.070443,0.205364,0.178503,0.018192,0.176998,0.090465,0.159120,0.509675,0.088042
sample_155,0.084211,0.251972,0.125808,0.084632,0.075114,0.169322,-0.002621,0.209353,0.146292,-0.019918,0.062651,0.091330,0.203548,0.195201,0.181879,0.155216,0.116114,0.202301,0.462392,0.141466
sample_156,0.192455,0.129216,0.150386,0.117562,0.041577,0.070748,0.079522,0.136523,0.086325,-0.017706,0.143863,0.174562,0.273551,0.152841,0.187402,0.164029,0.115821,0.178004,0.466909,0.170644
sample_157,0.047398,0.217812,0.141996,0.062824,0.054781,0.185781,0.088042,0.162809,0.126778,0.024552,0.150565,0.146466,0.204996,0.185222,0.192158,0.177601,0.113576,0.222405,0.414810,0.126540
sample_158,0.310617,0.096756,0.068180,0.051579,0.215957,0.158515,-0.032379,0.175602,0.341280,0.066601,0.227335,0.123433,0.123597,0.341644,0.130755,0.129461,0.036513,0.178395,0.236300,0.107758
sample_159,0.085163,0.194372,0.090608,0.072690,0.050438,0.088131,0.076578,0.255533,0.086311,-0.064425,0.048282,0.148061,0.195777,0.149956,0.125512,0.120082,0.166288,0.256436,0.588027,0.170660
sample_160,0.088713,0.034403,0.062406,0.114944,-0.068961,-0.002368,0.069020,0.163194,0.132732,-0.060694,0.058950,0.101048,0.180784,0.132366,0.058933,0.106468,0.032405,0.163398,0.542308,0.046902
sample_161,0.247255,0.145795,0.005544,0.084330,0.255874,0.168895,-0.021813,0.152658,0.252928,0.077003,0.206748,0.052831,0.048345,0.344581,0.298497,0.089912,0.042956,0.140838,0.152675,0.129857
sample_162,0.066762,0.140584,0.049880,0.108224,0.111159,0.143680,0.033886,0.194986,0.105641,-0.001952,0.079668,0.048348,0.041615,0.186983,0.346750,0.077913,0.056917,0.161838,0.256620,0.107548
sample_163,0.088556,0.160309,0.136982,0.153971,0.007415,0.062193,0.141795,0.146815,0.112993,0.001053,0.044947,0.206232,0.255006,0.068568,0.095801,0.188930,0.109775,0.233508,0.539876,0.052216
sample_164,0.174715,0.103508,0.096152,0.079917,0.016330,0.065621,0.145374,0.155431,0.146736,-0.048747,0.161723,0.223591,0.149951,0.196010,0.110630,0.084330,0.031055,0.130410,0.505221,0.111554
sample_165,0.193875,0.149403,0.032073,0.094881,0.236617,0.185911,0.144046,0.246700,0.245778,0.099166,0.273504,0.099999,0.079120,0.357641,0.236882,0.090514,0.125375,0.157803,0.308970,0.254332
sample_166,0.248796,0.108426,0.131820,0.079831,0.255109,0.160632,0.012828,0.165591,0.252812,0.043828,0.238659,0.080653,0.154625,0.293155,0.248723,0.118912,0.231180,0.254975,0.294793,0.135270
sample_167,0.069953,0.189500,0.069513,0.124815,0.076984,0.179768,0.065973,0.121178,0.081297,-0.023349,-0.006126,0.097647,0.162971,0.194884,0.223044,0.170483,0.102706,0.256223,0.383531,0.109378
sample_168,0.229530,0.123004,0.075444,0.003528,0.137592,0.184349,0.002936,0.213575,0.224012,0.057859,0.304441,0.073294,0.181892,0.216297,0.143661,0.147579,0.112699,0.188784,0.391531,0.124698
sample_169,0.121425,0.239549,0.115885,0.044905,0.021967,0.154779,0.053394,0.177583,0.077406,-0.052835,0.021051,0.121967,0.144862,0.136512,0.151151,0.106064,0.139563,0.263120,0.504198,0.143544
sample_170,0.127737,0.047582,0.037416,0.144109,-0.023456,-0.067850,0.059907,0.055653,0.053887,-0.022627,0.117471,0.051905,0.050531,0.000017,0.324802,0.029698,0.041813,0.090505,0.151905,0.402863
sample_171,0.106317,0.163306,-0.074864,0.164241,0.116723,0.035255,0.048748,0.142908,0.106208,-0.010831,0.103819,0.012809,0.048002,-0.032753,0.289408,0.087117,0.087945,0.007107,0.125761,0.480519
sample_172,0.141101,0.151204,-0.020865,0.237380,0.065584,0.040800,0.071541,0.171654,0.104057,-0.017557,0.109882,0.094796,0.021657,0.141282,0.332859,0.083247,0.118085,0.125302,0.276794,0.528243
